titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Chức nghiệm [Thẩm định] không thuận lợi nhưng thực ra lại là kẻ mạnh nhất,Chapter 39.1,"Thể loại:Action, Adventure, Drama, Fantasy, Manga, Shounen",Tình trạng:Đang tiến hành,Bình luận:2.421,Tác giả:Ibara Kino - Fuji Morohoshi,"Khi một đứa trẻ được sinh ra, chúng được nữ thần ánh sáng ban cho [JOB]. Thật không may, Ain được ban cho một chức nghiệp tệ hại [Người thẩm định]. Tất cả những gì cậu có thể làm là thẩm định tài liệu, và vì vậy bị đối xử bất công. Sau đó, một ngày nọ, cậu tình cờ bắt gặp một cái cây xếp hạng S ẩn trong một hầm ngục. Sau cuộc gặp gỡ này, Ain thay đổi một cách chậm rãi nhưng hiệu quả ...(hikki team)",//st.nettruyenup.com/data/comics/32/chuc-nghiem-tham-dinh-khong-thuan-loi-nh-1761.jpg,https://www.nettruyenup.com/truyen-tranh/chuc-nghiem-tham-dinh-khong-thuan-loi-nhung-thuc-ra-lai-la-ke-manh-nhat-420160
Ta Một Bước Làm Quỷ Vương,Chapter 57,"Thể loại:Action, Adventure, Comedy, Fantasy, Manhwa, Truyện Màu",Lượt xem:1.223K,Theo dõi:22K,Tình trạng:Đang tiến hành,"[""Đây chỉ là... không khác gì Dân Làng A...""] ""Không thể có một ai mạnh hơn tôi trên thế giới này!"" Chúa tể của Đại Dương, Yuria - người đã lên bờ để tìm kiếm người mạnh nhất trên đất liền, ""Chúa tể Hắc ám"" -  danh hiệu ""sinh vật mạnh nhất thế giới"". Nhưng rồi, cố ấy nhìn thấ mình trong gương, cô ấy đã thấy mình bị biến thành một đứa trẻ? Nàng ta đã có được đôi chân, nhưng đồng thời tất cả sức mạnh của cô ấy đã biến mất... Nhưng bây giờ, hành trình đẫm nước mắt của cô ấy để giành lấy ngai vàng với tư cách là người mạnh nhất trên thế giới bắt đầu !!",//st.nettruyenup.com/data/comics/106/ta-mot-buoc-lam-quy-vuong.jpg,https://www.nettruyenup.com/truyen-tranh/ta-mot-buoc-lam-quy-vuong-69482
Bạn Trai Vệ Sĩ,Chapter 81,"Thể loại:Action, Comedy, Manhwa, School Life, Truyện Màu, Webtoon",Lượt xem:6.279K,Theo dõi:67K,Tình trạng:Đang tiến hành,"Lim Se-jun, người rất thích ăn uống, béo và có vóc dáng to lớn. Anh ta có khiếu hài hước và một tính cách kiên định, không ngại bị trêu chọc là một gã béo. Anh ấy chỉ có một người bạn duy nhất, 'Seo Ha-jin, cô ấy đã luôn học thể thao để bảo vệ Se-jun từ khi còn nhỏ. Một ngày nọ, Se-jun xảy ra xích mích với tên bắt nạt cùng lớp, và Ha-jin đã nhìn thấy, và giải quyết tên bắt nạt ấy . Nhưng một đêm nọ, Ha-jin bị phát hiện đã bị đánh đập dã man, phải nghỉ học vì bị thương nặng ở đầu gối và chịu hậu quả nghiêm trọng về tinh thần. Se-jun cố gắng báo cảnh sát nhưng cuộc điều tra không có nhiều tiến triển. Anh không thể kiềm chế cơn tức giận và tự mình lên đường tìm ra thủ phạm. Nhưng anh đã bị đánh bại bởi một người bạn học của mình và thất bại. Anh ta học JuJitsu từ một người đã cứu anh ấy -Jason. Và trong vòng ba tháng, Se-jun, người đã cố gắng tập thể dục và giảm cân, đi hạ gục tên bắt nạt và phát hiện ra một tổ chức bí ẩn có liên quan, và cố gắng tiêu diệt tận gốc tổ chức đó Một bộ phim hành động học đường miêu tả sự trả thù của từng cá nhân.",//st.nettruyenup.com/data/comics/251/ban-trai-ve-si.jpg,https://www.nettruyenup.com/truyen-tranh/ban-trai-ve-si-481233
Ai Đã Giết Minh Chủ Võ Lâm,Chapter 17,Tình trạng:Đang tiến hành,Bình luận:80,Ngày cập nhật:53 phút trước,Lượt xem:40K,"Từ khi tôi mới mười một tuổi, tôi đã kiếm sống bằng cách ám sát theo ủy thác”. Vì thế, không những  Heo Shin-woo bị tình nghi trung việc ám sát người cầm đầu băng Moormin mà cả mạng sống của anh cũng bị đe dọa  bởi các thành viên của băng, những kẻ đang muốn nhắm đến vị vua bất bại của thiên đàng.",//st.nettruyenup.com/data/comics/83/ai-da-giet-minh-chu-vo-lam.jpg,https://www.nettruyenup.com/truyen-tranh/ai-da-giet-minh-chu-vo-lam-73811
Bắt Đầu Với Chí Tôn Đan Điền,Chapter 218,Tình trạng:Đang tiến hành,Bình luận:16K,Ngày cập nhật:2 giờ trước,Lượt xem:36M,,//st.nettruyenup.com/data/comics/70/bat-dau-voi-chi-ton-dan-dien.jpg,https://www.nettruyenup.com/truyen-tranh/bat-dau-voi-chi-ton-dan-dien-394940
Trở Thành Cô Cháu Gái Bị Khinh Miệt Của Gia Tộc Võ Lâm,Chapter 8,"Thể loại:Drama, Fantasy, Manhwa, Ngôn Tình, Romance, Truyện Màu, Webtoon",Lượt xem:118K,Theo dõi:9.614,Tình trạng:Đang tiến hành,"Cô xuyên không trở thành một nhân vật chính trong thế giới võ lâm. Cô trở thành BaekRi Yeon, đứa con gái ngốc nghếch và quậy phá của BaekRi Eui Kang, một người thầy chân chính và là người đã dẫn dắt nhân vật nam chính trở thành một anh hùng. Sau khi bất ngờ bị giết, cô mở mắt ra và trở thành một đứa trẻ có thể làm đảo ngược mọi thứ. ‘Mình, lần này có thể nhận được sự yêu thương không?” Ở kiếp này, cô có niềm tin rằng mình sẽ trở thành con gái được yêu thương chứ không phải đứa con gái chịu nhiều tổn thương nữa, cô bắt đầu cuộc sống được mọi người kính trọng từ cháu gái của gia đình Baekri. Những gia tộc cản trở xuất hiện trước mặt Yeon, người chỉ muốn đi trên con đường rải đẩy hoa, và Baek Ri Pae-hyeok, là tộc trưởng và cũng là ông nội của cô, ông sở hữu khí phách của một vị vua, người có thể khiến cả núi sông và cây cối rung chuyển chỉ bằng một ánh mắt. “Ngươi cho rằng ngươi đáng giá như thế sao!” “Vâng!” Ông không thể che giấu sự hốt hoảng trước khí thế mạnh mẽ của cháu gái “Nếu còn một tia hy vọng mong manh, người làm cha sao con có thể từ bỏ?” “…Như là một đứa trẻ cứng đầu.” Ông lão bắt đầu mềm lòng vì hai cha con tuyệt mỹ đánh bại với quyết tâm sẽ cứu đứa cháu gái không có tài nghệ võ công … Tôi nghĩ rằng được sống ở thời điểm này là xứng đáng, nhưng nỗi ám ảnh của các ứng cử viên nam chính đột nhiên bắt đầu? Yeoni của chúng ta, bây giờ hãy chỉ đi trên con đường hoa thôi nhé!",//st.nettruyenup.com/data/comics/0/tro-thanh-co-chau-gai-bi-khinh-miet-cua-3776.jpg,https://www.nettruyenup.com/truyen-tranh/tro-thanh-co-chau-gai-bi-khinh-miet-cua-gia-toc-vo-lam-79104
Ta Có Một Tòa Mạt Thế Mê Cung,Chapter 150,Tình trạng:Đang tiến hành,Bình luận:3.698,Ngày cập nhật:58 phút trước,Lượt xem:10M,,//st.nettruyenup.com/data/comics/218/ta-co-mot-toa-mat-the-me-cung.jpg,https://www.nettruyenup.com/truyen-tranh/ta-co-mot-toa-mat-the-me-cung-383620
Danchigai,Chapter 99,Tác giả:YONEDA Kazusa,Lượt xem:438K,Theo dõi:5.540,Tình trạng:Đang tiến hành,"Câu chuyện xoay quanh Haruki và 4 chị em gái: Mutsuki, Yayoi,Uzuki, và Satsuki. Trong khi cuộc sống của họ có vẻ đơn điệu nhưng thực tế, các chị em gái của Haruki không cho anh cơ hội nghỉ ngơi, còn cụ thể là làm gì thì... *í hị hị hị*.",//st.nettruyenup.com/data/comics/43/danchigai.jpg,https://www.nettruyenup.com/truyen-tranh/danchigai-133550
Pppppp,Chapter 64,Tác giả:Mapollo 3,Lượt xem:908K,Theo dõi:10K,Tình trạng:Đang tiến hành,"Gakuon Otogami là một nghệ sĩ piano nổi tiếng thế giới, ông có 7 người con nhưng trong số đó chỉ có 6 người được coi là ""thiên tài"". Đây là câu chuyện về cách một người ""tầm thường"" đánh bại một ""thiên tài""",//st.nettruyenup.com/data/comics/207/pppppp.jpg,https://www.nettruyenup.com/truyen-tranh/pppppp-624151
Sekai Saikyou no Kouei: Meikyuukoku no Shinjin Tansakusha,Chapter 18.5,"Thể loại:Action, Adventure, Comedy, Harem, Manga, Supernatural",Tình trạng:Đang tiến hành,Bình luận:395,Tác giả:Toowa,"Được rồi, vì vậy nhân vật chính của chúng tôi là một người nghiện làm việc với một ông chủ đòi hỏi, cả hai cùng nhau khi một vụ tai nạn xe buýt giết chết cả hai. Một cái gì đó một cái gì đó isekai một cái gì đó một cái gì đó kỹ năng điểm một cái gì đó một cái gì đó mạo hiểm của guild một cái gì đó thăm dò hầm ngục. Hãy nhìn xem, bạn đã ở đây đủ lâu để biết nó diễn ra thế nào. Vì vậy, ông chủ đòi hỏi trở thành một Valkyrie và MC, không muốn làm việc theo cô ấy, quyết định đi solo. Anh ta sớm phải chọn một lớp học mà nhân vật của anh ấy sẽ làm việc và quyết định ""bảo vệ phía sau"". Tuy nhiên, anh ta sớm thấy rằng một người bảo vệ phía sau thực sự là một công việc khá hiếm hoi - và một người anh ta chỉ có thể nổi trội.",//st.nettruyenup.com/data/comics/24/sekai-saikyou-no-kouei-meikyuukoku-no-sh-7416.jpg,https://www.nettruyenup.com/truyen-tranh/sekai-saikyou-no-kouei-meikyuukoku-no-shinjin-tansakusha-184560
