titles,discripsion,lastest_Chap,condition,view,follow,link 
Chức Nghiệm [Thẩm Định] Không Thuận Lợi Nhưng Thực Ra Lại Là Kẻ Mạnh Nhất,"Khi một đứa trẻ được sinh ra, chúng được nữ thần ánh sáng ban cho [JOB]. Thật không may, Ain được ban cho một chức nghiệp tệ hại [Người thẩm định]. Tất cả những gì cậu có thể làm là thẩm định tài liệu, và vì vậy bị đối xử bất công. Sau đó, một ngày nọ, cậu tình cờ bắt gặp một cái cây xếp hạng S ẩn t...",Chapter 39.1,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,172,620","Lượt theo dõi: 6,420",https://truyenqqhot.com/truyen-tranh/chuc-nghiem-tham-dinh-khong-thuan-loi-nhung-thuc-ra-lai-la-ke-manh-nhat-11715
Cô Con Gái Út Của Công Tước Phản Diện,"Khi tôi còn là một học sinh trung học, tôi đã bị mê hoặc bởi cuốn tiểu thuyết mà tôi đã ngừng viết. Và rồi hiện giờ tôi đang sở hữu cơ thể của một nhân vật phụ thay vì là nhân vật chính. Đó là một cô bé mồ côi 7 tuổi không có tên… Phải chịu sự ngược đãi của người khác, đến khi tôi cảm thấy thật sự m...",Chapter 36,Tình trạng: Đang Cập Nhật,"Lượt xem: 289,637","Lượt theo dõi: 2,096",https://truyenqqhot.com/truyen-tranh/co-con-gai-ut-cua-cong-tuoc-phan-dien-12917
Xếp Hạng Bắt Nạt,"Neon mask, một streamer điên khùng không thể bắt giữ được cùng với kênh của mình lập một bảng xếp hạng các tên tội phạm chuyên bắt nạt học sinh khác và treo thưởng cho ai hạ được chúng. Hắn tuyên bố rằng: “Bọn bắt nạt chúng mày đã cướp đi niềm vui, gia đình của nhiều người khác, vậy thì tao sẽ đại d...",Chapter 72,Tình trạng: Đang Cập Nhật,"Lượt xem: 637,836","Lượt theo dõi: 4,499",https://truyenqqhot.com/truyen-tranh/xep-hang-bat-nat-10330
Shibuya Kingyo,"Tsukiyoda, một chàng trai nhút nhát, không thể hòa nhập được với cuộc sống hiện đại, sau khi giúp đỡ cô bạn nổi tiếng cùng trường và được trả công bằng bữa trưa. Những tưởng cuộc sống của mình đã thay đổi, nhưng không mọi thứ thay đổiTsukiyoda Hajime, chàng trai trẻ đang tận hưởng những ngày yên bìn...",Chapter 42,Tình trạng: Đang Cập Nhật,"Lượt xem: 954,829","Lượt theo dõi: 2,983",https://truyenqqhot.com/truyen-tranh/shibuya-kingyo-4190
Ta Không Phải Con Cưng Của Khí Vận,"Sau khi xuyên qua thế giới tu tiên bất tử, Thẩm Thiên nhận thấy rằng mình có thể nhìn thấy quầng sáng may mắn và xui xẻo trên đầu của người khác. Để xua đuổi hào quang xui xẻo đen như nhọ nồi bay lơ lửng trên đầu của mình, hắn tìm mọi cách kết giao với những người may mắn ....",Chapter 178,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,984,757","Lượt theo dõi: 6,391",https://truyenqqhot.com/truyen-tranh/ta-khong-phai-con-cung-cua-khi-van-11931
Tây Du Ký Ngoại Truyện,"Không biết nói thế nào, câu chuyện kể về tôn ngộ không vì lỡ tay đánh đường tăng liệt nửa người, nên phải đi thỉnh kinh cùng với long nữ và tiểu tăng thỏ, đối thủ truyền kiếp của y.",Chapter 258,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,312,841","Lượt theo dõi: 5,166",https://truyenqqhot.com/truyen-tranh/tay-du-ky-ngoai-truyen-985
Hỏa Vũ Diệu Dương,,Chapter 702,Tình trạng: Đang Cập Nhật,"Lượt xem: 550,096",Lượt theo dõi: 269,https://truyenqqhot.com/truyen-tranh/hoa-vu-dieu-duong-2011
Ai Đã Giết Minh Chủ Võ Lâm,"Từ khi tôi mới mười một tuổi, tôi đã kiếm sống bằng cách ám sát theo ủy thác”. Vì thế, không những  Heo Shin-woo bị tình nghi trung việc ám sát người cầm đầu băng Moormin mà cả mạng sống của anh cũng bị đe dọa  bởi các thành viên của băng, những kẻ đang muốn nhắm đến vị vua bất bại của thiên đàng.",Chapter 17,Tình trạng: Đang Cập Nhật,"Lượt xem: 27,331",Lượt theo dõi: 279,https://truyenqqhot.com/truyen-tranh/ai-da-giet-minh-chu-vo-lam-13262
Ta Một Bước Làm Quỷ Vương,"[""Đây chỉ là... không khác gì Dân Làng A...""] ""Không thể có một ai mạnh hơn tôi trên thế giới này!"" Chúa tể của Đại Dương, Yuria - người đã lên bờ để tìm kiếm người mạnh nhất trên đất liền, ""Chúa tể Hắc ám"" -  danh hiệu ""sinh vật mạnh nhất thế giới"". Nhưng rồi, cố ấy nhìn thấ mình trong gương, cô ấy...",Chapter 57,Tình trạng: Đang Cập Nhật,"Lượt xem: 305,948","Lượt theo dõi: 1,630",https://truyenqqhot.com/truyen-tranh/ta-mot-buoc-lam-quy-vuong-12957
Ta Có Một Tòa Mạt Thế Mê Cung,,Chapter 150,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,345,995","Lượt theo dõi: 5,093",https://truyenqqhot.com/truyen-tranh/ta-co-mot-toa-mat-the-me-cung-11048
