title,discription,illutration,link
SEXUAL HEALING,I'm a doc - here's the answers to sex ed questions you're embarrassed to ask,https://www.thesun.co.uk/wp-content/uploads/2023/03/studio-shot-row-fruit-pink-727686647-1.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/21573078/doctor-sexual-health-questions-embarrassed-ask/
MAYBE BABY,The 6 unexpected signs that you're pregnant - one strikes at night,https://www.thesun.co.uk/wp-content/uploads/2023/03/newspress-collage-21552115-1677670525740.jpg?1677670647&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/21552115/signs-youre-pregnant-one-strikes-at-night/
VAGI-WHAT?,Midwife reveals what bleach-like stains in your underwear means for your vagina,https://www.thesun.co.uk/wp-content/uploads/2021/02/GettyImages-653405874jpg-JS383304075-1.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/21107797/midwife-bleach-stains-underwear-means-vagina/
TORMENT,I was branded a tomato by a bully and called ugly - but now I've found a cure,https://www.thesun.co.uk/wp-content/uploads/2023/01/newspress-collage-21073020-1673971248183.jpg?1673971288&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/21073020/rosacea-bullying-cure/
GENDER GAP,The 7 reasons women are more likely to suffer depression - and how to cope,https://www.thesun.co.uk/wp-content/uploads/2022/12/beautiful-young-woman-sitting-sofa-775424751.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20615699/women-depression-cope-help/
BACK BREAKER,Urgent warning over 'silent killer' cancer that can first appear as back pain,https://www.thesun.co.uk/wp-content/uploads/2022/12/NINTCHDBPICT000784145161-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20815098/cervical-cancer-back-pain/
GET CLUED UP,From the whiff of coins to unusual odours...5 vaginal smells & what they mean,https://www.thesun.co.uk/wp-content/uploads/2021/12/bright-young-woman-covers-nose-754859150.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/16933521/different-vaginal-smells-why-coins-fishy-sweet/
COMA KID,My baby was born when I was fighting for my life - she's my little miracle,https://www.thesun.co.uk/wp-content/uploads/2022/12/dk-comp-miracle-baby.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20871842/miracle-baby-born-when-mum-coma/
SHEER HELL,Docs told me I had a low pain threshold - then discovered the horrific truth,https://www.thesun.co.uk/wp-content/uploads/2022/12/newspress-collage-20816548-1671548893441.jpg?1671548922&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20816548/endometriosis-hormonal-doctor-surgery/
WAKE UP,The 5 surprising reasons you're TATT (that's tired all the time) & how to fix it,https://www.thesun.co.uk/wp-content/uploads/2022/11/sick-young-woman-lying-couch-775405343.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20600803/cycle-blame-for-always-being-tired/
DRIFT OFF,I could barely sleep 4 hours a night until I made a few surprising changes,https://www.thesun.co.uk/wp-content/uploads/2022/12/DD-COMP-fab-menopause-matters-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/health/20613568/poor-sleep-hot-flushes-menopause/
TRUST YOUR GUT,Docs blamed killer symptoms on my hormones - if I'd listened I might be dead,https://www.thesun.co.uk/wp-content/uploads/2022/12/newspress-collage-20744362-1671469017168.jpg?1671469065&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20744362/doctors-said-tiredness-anaemia-breast-cancer/
RIDING SOLO,I'm independent and don't need a man - I can start a family whenever I want,https://www.thesun.co.uk/wp-content/uploads/2022/12/CW-EGG-FREEZE-EXCLUSIVE-COMP-copy.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/20854895/businesswoman-egg-freezing-start-family/
MUM'S AGONY,A decade after having babies I never thought I'd be the one wearing nappies,https://www.thesun.co.uk/wp-content/uploads/2022/12/DD-COMP-P30-TRANSFORM-v2.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/health/20734678/having-babies-wearing-nappies-surgery/
