Contries,contries_details,GDP,GDP_details,GDP YoY,GDP YoY_details,GDP QoQ,GDP QoQ_details,Interest Rate,Interest Rate_details,Inflation Rate,Inflation_details,Jobless Rate,Jobless_details,Gov. Budget,Gov. Budget_details,Debt/GDP,Debt/GDP_details,Current Account ,Current Account_details,Population,Population_details
United States,https://tradingeconomics.com/united-states/indicators,23315,https://tradingeconomics.com/united-states/gdp,0.90,https://tradingeconomics.com/united-states/gdp-growth-annual,2.70,https://tradingeconomics.com/united-states/gdp-growth,4.75,https://tradingeconomics.com/united-states/interest-rate,6.40,https://tradingeconomics.com/united-states/inflation-cpi,3.40,https://tradingeconomics.com/united-states/unemployment-rate,-5.80,https://tradingeconomics.com/united-states/government-budget,129.00,https://tradingeconomics.com/united-states/government-debt-to-gdp,-3.60,https://tradingeconomics.com/united-states/current-account-to-gdp,334.23,https://tradingeconomics.com/united-states/population
Canada,https://tradingeconomics.com/canada/indicators,1988,https://tradingeconomics.com/canada/gdp,2.07,https://tradingeconomics.com/canada/gdp-growth-annual,0.00,https://tradingeconomics.com/canada/gdp-growth,4.50,https://tradingeconomics.com/canada/interest-rate,5.90,https://tradingeconomics.com/canada/inflation-cpi,5.00,https://tradingeconomics.com/canada/unemployment-rate,-4.70,https://tradingeconomics.com/canada/government-budget,112.80,https://tradingeconomics.com/canada/government-debt-to-gdp,0.10,https://tradingeconomics.com/canada/current-account-to-gdp,38.44,https://tradingeconomics.com/canada/population
Brazil,https://tradingeconomics.com/brazil/indicators,1609,https://tradingeconomics.com/brazil/gdp,1.90,https://tradingeconomics.com/brazil/gdp-growth-annual,-0.20,https://tradingeconomics.com/brazil/gdp-growth,13.75,https://tradingeconomics.com/brazil/interest-rate,5.77,https://tradingeconomics.com/brazil/inflation-cpi,7.90,https://tradingeconomics.com/brazil/unemployment-rate,-4.50,https://tradingeconomics.com/brazil/government-budget,80.27,https://tradingeconomics.com/brazil/government-debt-to-gdp,-1.80,https://tradingeconomics.com/brazil/current-account-to-gdp,213.32,https://tradingeconomics.com/brazil/population
Mexico,https://tradingeconomics.com/mexico/indicators,1273,https://tradingeconomics.com/mexico/gdp,3.60,https://tradingeconomics.com/mexico/gdp-growth-annual,0.50,https://tradingeconomics.com/mexico/gdp-growth,11.00,https://tradingeconomics.com/mexico/interest-rate,7.91,https://tradingeconomics.com/mexico/inflation-cpi,3.00,https://tradingeconomics.com/mexico/unemployment-rate,-3.80,https://tradingeconomics.com/mexico/government-budget,49.60,https://tradingeconomics.com/mexico/government-debt-to-gdp,-0.90,https://tradingeconomics.com/mexico/current-account-to-gdp,126.25,https://tradingeconomics.com/mexico/population
Argentina,https://tradingeconomics.com/argentina/indicators,487,https://tradingeconomics.com/argentina/gdp,5.90,https://tradingeconomics.com/argentina/gdp-growth-annual,1.70,https://tradingeconomics.com/argentina/gdp-growth,75.00,https://tradingeconomics.com/argentina/interest-rate,98.80,https://tradingeconomics.com/argentina/inflation-cpi,7.10,https://tradingeconomics.com/argentina/unemployment-rate,-4.50,https://tradingeconomics.com/argentina/government-budget,80.50,https://tradingeconomics.com/argentina/government-debt-to-gdp,1.00,https://tradingeconomics.com/argentina/current-account-to-gdp,45.81,https://tradingeconomics.com/argentina/population
Chile,https://tradingeconomics.com/chile/indicators,317,https://tradingeconomics.com/chile/gdp,0.30,https://tradingeconomics.com/chile/gdp-growth-annual,-1.20,https://tradingeconomics.com/chile/gdp-growth,11.25,https://tradingeconomics.com/chile/interest-rate,12.30,https://tradingeconomics.com/chile/inflation-cpi,8.00,https://tradingeconomics.com/chile/unemployment-rate,-7.50,https://tradingeconomics.com/chile/government-budget,36.30,https://tradingeconomics.com/chile/government-debt-to-gdp,-6.60,https://tradingeconomics.com/chile/current-account-to-gdp,19.69,https://tradingeconomics.com/chile/population
Colombia,https://tradingeconomics.com/colombia/indicators,314,https://tradingeconomics.com/colombia/gdp,2.90,https://tradingeconomics.com/colombia/gdp-growth-annual,0.70,https://tradingeconomics.com/colombia/gdp-growth,12.75,https://tradingeconomics.com/colombia/interest-rate,13.28,https://tradingeconomics.com/colombia/inflation-cpi,13.70,https://tradingeconomics.com/colombia/unemployment-rate,-7.10,https://tradingeconomics.com/colombia/government-budget,61.10,https://tradingeconomics.com/colombia/government-debt-to-gdp,-5.70,https://tradingeconomics.com/colombia/current-account-to-gdp,51.41,https://tradingeconomics.com/colombia/population
Peru,https://tradingeconomics.com/peru/indicators,223,https://tradingeconomics.com/peru/gdp,1.70,https://tradingeconomics.com/peru/gdp-growth-annual,3.50,https://tradingeconomics.com/peru/gdp-growth,7.75,https://tradingeconomics.com/peru/interest-rate,8.65,https://tradingeconomics.com/peru/inflation-cpi,8.00,https://tradingeconomics.com/peru/unemployment-rate,-2.60,https://tradingeconomics.com/peru/government-budget,36.00,https://tradingeconomics.com/peru/government-debt-to-gdp,-2.90,https://tradingeconomics.com/peru/current-account-to-gdp,32.78,https://tradingeconomics.com/peru/population
Venezuela,https://tradingeconomics.com/venezuela/indicators,112,https://tradingeconomics.com/venezuela/gdp,-1.50,https://tradingeconomics.com/venezuela/gdp-growth-annual,-23.70,https://tradingeconomics.com/venezuela/gdp-growth,57.97,https://tradingeconomics.com/venezuela/interest-rate,155.80,https://tradingeconomics.com/venezuela/inflation-cpi,6.40,https://tradingeconomics.com/venezuela/unemployment-rate,-4.50,https://tradingeconomics.com/venezuela/government-budget,241.00,https://tradingeconomics.com/venezuela/government-debt-to-gdp,-2.10,https://tradingeconomics.com/venezuela/current-account-to-gdp,32.98,https://tradingeconomics.com/venezuela/population
Puerto Rico,https://tradingeconomics.com/puerto-rico/indicators,107,https://tradingeconomics.com/puerto-rico/gdp,1.10,https://tradingeconomics.com/puerto-rico/gdp-growth-annual,,,,,6.00,https://tradingeconomics.com/puerto-rico/inflation-cpi,6.00,https://tradingeconomics.com/puerto-rico/unemployment-rate,,,,,,,3.21,https://tradingeconomics.com/puerto-rico/population
