Contries,contries_details,GDP,GDP_details,GDP YoY,GDP YoY_details,GDP QoQ,GDP QoQ_details,Interest Rate,Interest Rate_details,Inflation Rate,Inflation_details,Jobless Rate,Jobless_details,Gov. Budget,Gov. Budget_details,Debt/GDP,Debt/GDP_details,Current Account ,Current Account_details,Population,Population_details
United States,https://tradingeconomics.com/united-states/indicators,23315,https://tradingeconomics.com/united-states/gdp,0.90,https://tradingeconomics.com/united-states/gdp-growth-annual,2.70,https://tradingeconomics.com/united-states/gdp-growth,4.75,https://tradingeconomics.com/united-states/interest-rate,6.40,https://tradingeconomics.com/united-states/inflation-cpi,3.40,https://tradingeconomics.com/united-states/unemployment-rate,-5.80,https://tradingeconomics.com/united-states/government-budget,129.00,https://tradingeconomics.com/united-states/government-debt-to-gdp,-3.60,https://tradingeconomics.com/united-states/current-account-to-gdp,334.23,https://tradingeconomics.com/united-states/population
China,https://tradingeconomics.com/china/indicators,17734,https://tradingeconomics.com/china/gdp,2.90,https://tradingeconomics.com/china/gdp-growth-annual,0.00,https://tradingeconomics.com/china/gdp-growth,3.65,https://tradingeconomics.com/china/interest-rate,2.10,https://tradingeconomics.com/china/inflation-cpi,5.50,https://tradingeconomics.com/china/unemployment-rate,-7.40,https://tradingeconomics.com/china/government-budget,76.90,https://tradingeconomics.com/china/government-debt-to-gdp,2.30,https://tradingeconomics.com/china/current-account-to-gdp,1411.75,https://tradingeconomics.com/china/population
Euro Area,https://tradingeconomics.com/euro-area/indicators,14563,https://tradingeconomics.com/euro-area/gdp,1.90,https://tradingeconomics.com/euro-area/gdp-growth-annual,0.10,https://tradingeconomics.com/euro-area/gdp-growth,3.00,https://tradingeconomics.com/euro-area/interest-rate,8.50,https://tradingeconomics.com/euro-area/inflation-cpi,6.70,https://tradingeconomics.com/euro-area/unemployment-rate,-5.10,https://tradingeconomics.com/euro-area/government-budget,95.60,https://tradingeconomics.com/euro-area/government-debt-to-gdp,-0.70,https://tradingeconomics.com/euro-area/current-account-to-gdp,342.56,https://tradingeconomics.com/euro-area/population
Japan,https://tradingeconomics.com/japan/indicators,4941,https://tradingeconomics.com/japan/gdp,0.60,https://tradingeconomics.com/japan/gdp-growth-annual,0.20,https://tradingeconomics.com/japan/gdp-growth,-0.10,https://tradingeconomics.com/japan/interest-rate,4.30,https://tradingeconomics.com/japan/inflation-cpi,2.40,https://tradingeconomics.com/japan/unemployment-rate,-5.90,https://tradingeconomics.com/japan/government-budget,262.50,https://tradingeconomics.com/japan/government-debt-to-gdp,1.90,https://tradingeconomics.com/japan/current-account-to-gdp,125.31,https://tradingeconomics.com/japan/population
Germany,https://tradingeconomics.com/germany/indicators,4260,https://tradingeconomics.com/germany/gdp,0.90,https://tradingeconomics.com/germany/gdp-growth-annual,-0.40,https://tradingeconomics.com/germany/gdp-growth,3.00,https://tradingeconomics.com/germany/interest-rate,8.70,https://tradingeconomics.com/germany/inflation-cpi,5.50,https://tradingeconomics.com/germany/unemployment-rate,-2.60,https://tradingeconomics.com/germany/government-budget,69.30,https://tradingeconomics.com/germany/government-debt-to-gdp,7.40,https://tradingeconomics.com/germany/current-account-to-gdp,83.16,https://tradingeconomics.com/germany/population
India,https://tradingeconomics.com/india/indicators,3176,https://tradingeconomics.com/india/gdp,4.40,https://tradingeconomics.com/india/gdp-growth-annual,0.80,https://tradingeconomics.com/india/gdp-growth,6.50,https://tradingeconomics.com/india/interest-rate,6.52,https://tradingeconomics.com/india/inflation-cpi,7.10,https://tradingeconomics.com/india/unemployment-rate,-6.90,https://tradingeconomics.com/india/government-budget,89.26,https://tradingeconomics.com/india/government-debt-to-gdp,-1.20,https://tradingeconomics.com/india/current-account-to-gdp,1380.00,https://tradingeconomics.com/india/population
United Kingdom,https://tradingeconomics.com/united-kingdom/indicators,3131,https://tradingeconomics.com/united-kingdom/gdp,0.40,https://tradingeconomics.com/united-kingdom/gdp-growth-annual,0.00,https://tradingeconomics.com/united-kingdom/gdp-growth,4.00,https://tradingeconomics.com/united-kingdom/interest-rate,10.10,https://tradingeconomics.com/united-kingdom/inflation-cpi,3.70,https://tradingeconomics.com/united-kingdom/unemployment-rate,-5.40,https://tradingeconomics.com/united-kingdom/government-budget,97.40,https://tradingeconomics.com/united-kingdom/government-debt-to-gdp,-2.00,https://tradingeconomics.com/united-kingdom/current-account-to-gdp,67.53,https://tradingeconomics.com/united-kingdom/population
France,https://tradingeconomics.com/france/indicators,2958,https://tradingeconomics.com/france/gdp,0.50,https://tradingeconomics.com/france/gdp-growth-annual,0.10,https://tradingeconomics.com/france/gdp-growth,3.00,https://tradingeconomics.com/france/interest-rate,6.20,https://tradingeconomics.com/france/inflation-cpi,7.20,https://tradingeconomics.com/france/unemployment-rate,-6.50,https://tradingeconomics.com/france/government-budget,112.90,https://tradingeconomics.com/france/government-debt-to-gdp,0.40,https://tradingeconomics.com/france/current-account-to-gdp,67.63,https://tradingeconomics.com/france/population
Italy,https://tradingeconomics.com/italy/indicators,2108,https://tradingeconomics.com/italy/gdp,1.40,https://tradingeconomics.com/italy/gdp-growth-annual,-0.10,https://tradingeconomics.com/italy/gdp-growth,3.00,https://tradingeconomics.com/italy/interest-rate,9.20,https://tradingeconomics.com/italy/inflation-cpi,7.90,https://tradingeconomics.com/italy/unemployment-rate,-8.00,https://tradingeconomics.com/italy/government-budget,144.70,https://tradingeconomics.com/italy/government-debt-to-gdp,2.50,https://tradingeconomics.com/italy/current-account-to-gdp,59.24,https://tradingeconomics.com/italy/population
Canada,https://tradingeconomics.com/canada/indicators,1988,https://tradingeconomics.com/canada/gdp,2.07,https://tradingeconomics.com/canada/gdp-growth-annual,0.00,https://tradingeconomics.com/canada/gdp-growth,4.50,https://tradingeconomics.com/canada/interest-rate,5.90,https://tradingeconomics.com/canada/inflation-cpi,5.00,https://tradingeconomics.com/canada/unemployment-rate,-4.70,https://tradingeconomics.com/canada/government-budget,112.80,https://tradingeconomics.com/canada/government-debt-to-gdp,0.10,https://tradingeconomics.com/canada/current-account-to-gdp,38.44,https://tradingeconomics.com/canada/population
South Korea,https://tradingeconomics.com/south-korea/indicators,1799,https://tradingeconomics.com/south-korea/gdp,1.30,https://tradingeconomics.com/south-korea/gdp-growth-annual,-0.40,https://tradingeconomics.com/south-korea/gdp-growth,3.50,https://tradingeconomics.com/south-korea/interest-rate,4.80,https://tradingeconomics.com/south-korea/inflation-cpi,2.90,https://tradingeconomics.com/south-korea/unemployment-rate,-5.60,https://tradingeconomics.com/south-korea/government-budget,46.90,https://tradingeconomics.com/south-korea/government-debt-to-gdp,4.90,https://tradingeconomics.com/south-korea/current-account-to-gdp,51.74,https://tradingeconomics.com/south-korea/population
Russia,https://tradingeconomics.com/russia/indicators,1776,https://tradingeconomics.com/russia/gdp,-3.70,https://tradingeconomics.com/russia/gdp-growth-annual,-0.80,https://tradingeconomics.com/russia/gdp-growth,7.50,https://tradingeconomics.com/russia/interest-rate,11.80,https://tradingeconomics.com/russia/inflation-cpi,3.60,https://tradingeconomics.com/russia/unemployment-rate,-2.30,https://tradingeconomics.com/russia/government-budget,18.20,https://tradingeconomics.com/russia/government-debt-to-gdp,6.80,https://tradingeconomics.com/russia/current-account-to-gdp,145.55,https://tradingeconomics.com/russia/population
Brazil,https://tradingeconomics.com/brazil/indicators,1609,https://tradingeconomics.com/brazil/gdp,1.90,https://tradingeconomics.com/brazil/gdp-growth-annual,-0.20,https://tradingeconomics.com/brazil/gdp-growth,13.75,https://tradingeconomics.com/brazil/interest-rate,5.77,https://tradingeconomics.com/brazil/inflation-cpi,7.90,https://tradingeconomics.com/brazil/unemployment-rate,-4.50,https://tradingeconomics.com/brazil/government-budget,80.27,https://tradingeconomics.com/brazil/government-debt-to-gdp,-1.80,https://tradingeconomics.com/brazil/current-account-to-gdp,213.32,https://tradingeconomics.com/brazil/population
Australia,https://tradingeconomics.com/australia/indicators,1553,https://tradingeconomics.com/australia/gdp,2.70,https://tradingeconomics.com/australia/gdp-growth-annual,0.50,https://tradingeconomics.com/australia/gdp-growth,3.35,https://tradingeconomics.com/australia/interest-rate,7.80,https://tradingeconomics.com/australia/inflation-cpi,3.70,https://tradingeconomics.com/australia/unemployment-rate,-1.50,https://tradingeconomics.com/australia/government-budget,36.10,https://tradingeconomics.com/australia/government-debt-to-gdp,2.30,https://tradingeconomics.com/australia/current-account-to-gdp,25.77,https://tradingeconomics.com/australia/population
Spain,https://tradingeconomics.com/spain/indicators,1427,https://tradingeconomics.com/spain/gdp,2.70,https://tradingeconomics.com/spain/gdp-growth-annual,0.20,https://tradingeconomics.com/spain/gdp-growth,3.00,https://tradingeconomics.com/spain/interest-rate,6.10,https://tradingeconomics.com/spain/inflation-cpi,12.87,https://tradingeconomics.com/spain/unemployment-rate,-6.90,https://tradingeconomics.com/spain/government-budget,118.40,https://tradingeconomics.com/spain/government-debt-to-gdp,0.90,https://tradingeconomics.com/spain/current-account-to-gdp,47.40,https://tradingeconomics.com/spain/population
Mexico,https://tradingeconomics.com/mexico/indicators,1273,https://tradingeconomics.com/mexico/gdp,3.60,https://tradingeconomics.com/mexico/gdp-growth-annual,0.50,https://tradingeconomics.com/mexico/gdp-growth,11.00,https://tradingeconomics.com/mexico/interest-rate,7.91,https://tradingeconomics.com/mexico/inflation-cpi,3.00,https://tradingeconomics.com/mexico/unemployment-rate,-3.80,https://tradingeconomics.com/mexico/government-budget,49.60,https://tradingeconomics.com/mexico/government-debt-to-gdp,-0.90,https://tradingeconomics.com/mexico/current-account-to-gdp,126.25,https://tradingeconomics.com/mexico/population
Indonesia,https://tradingeconomics.com/indonesia/indicators,1186,https://tradingeconomics.com/indonesia/gdp,5.01,https://tradingeconomics.com/indonesia/gdp-growth-annual,0.36,https://tradingeconomics.com/indonesia/gdp-growth,5.75,https://tradingeconomics.com/indonesia/interest-rate,5.47,https://tradingeconomics.com/indonesia/inflation-cpi,5.86,https://tradingeconomics.com/indonesia/unemployment-rate,-2.38,https://tradingeconomics.com/indonesia/government-budget,40.90,https://tradingeconomics.com/indonesia/government-debt-to-gdp,1.00,https://tradingeconomics.com/indonesia/current-account-to-gdp,272.70,https://tradingeconomics.com/indonesia/population
Netherlands,https://tradingeconomics.com/netherlands/indicators,1013,https://tradingeconomics.com/netherlands/gdp,3.00,https://tradingeconomics.com/netherlands/gdp-growth-annual,0.60,https://tradingeconomics.com/netherlands/gdp-growth,3.00,https://tradingeconomics.com/netherlands/interest-rate,8.00,https://tradingeconomics.com/netherlands/inflation-cpi,3.60,https://tradingeconomics.com/netherlands/unemployment-rate,-2.60,https://tradingeconomics.com/netherlands/government-budget,52.40,https://tradingeconomics.com/netherlands/government-debt-to-gdp,9.00,https://tradingeconomics.com/netherlands/current-account-to-gdp,17.48,https://tradingeconomics.com/netherlands/population
Saudi Arabia,https://tradingeconomics.com/saudi-arabia/indicators,834,https://tradingeconomics.com/saudi-arabia/gdp,5.40,https://tradingeconomics.com/saudi-arabia/gdp-growth-annual,1.50,https://tradingeconomics.com/saudi-arabia/gdp-growth,5.25,https://tradingeconomics.com/saudi-arabia/interest-rate,3.40,https://tradingeconomics.com/saudi-arabia/inflation-cpi,5.80,https://tradingeconomics.com/saudi-arabia/unemployment-rate,-2.30,https://tradingeconomics.com/saudi-arabia/government-budget,30.00,https://tradingeconomics.com/saudi-arabia/government-debt-to-gdp,6.60,https://tradingeconomics.com/saudi-arabia/current-account-to-gdp,34.11,https://tradingeconomics.com/saudi-arabia/population
Turkey,https://tradingeconomics.com/turkey/indicators,819,https://tradingeconomics.com/turkey/gdp,3.50,https://tradingeconomics.com/turkey/gdp-growth-annual,0.90,https://tradingeconomics.com/turkey/gdp-growth,8.50,https://tradingeconomics.com/turkey/interest-rate,55.18,https://tradingeconomics.com/turkey/inflation-cpi,10.30,https://tradingeconomics.com/turkey/unemployment-rate,-2.70,https://tradingeconomics.com/turkey/government-budget,42.00,https://tradingeconomics.com/turkey/government-debt-to-gdp,-1.70,https://tradingeconomics.com/turkey/current-account-to-gdp,84.68,https://tradingeconomics.com/turkey/population
