title,discription,illutration,link
PUZZLING TASK,I created world's most expensive Rubik's cube at £2M - here’s my huge regret,https://www.thesun.co.uk/wp-content/uploads/2023/02/newspress-collage-21516544-1677368505474.jpg?1677368525&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/21516544/worlds-most-expensive-rubiks-cube/
DESPOT DAD,Kim Jong-un’s THIRD child revealed as hermit leader may launch missile in days,https://www.thesun.co.uk/wp-content/uploads/2023/03/newspress-collage-21616664-1678178465620.jpg?1678178477&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/21616664/kim-jong-uns-mysterious-spies-warn-hermit-missile/
NOT AGAIN,"Deadly lab virus tests could spark brain-swelling Nipah pandemic, warns scientist",https://www.thesun.co.uk/wp-content/uploads/2023/03/wuhan-hubei-province-china-23-577372924.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/21502617/deadly-lab-virus-experiments-nipah-pandemic/
'RAPE' ARREST,"Brit, 26, arrested for 'raping woman' in Magaluf hotel and 'headbutted cop'",https://www.thesun.co.uk/wp-content/uploads/2023/03/image-18-JS744387197.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/21529458/brit-arrested-raping-woman-magaluf-hotel-headbutted-cop/
GONE TOO SOON,Mourners gather for funeral of Thai cave survivor found dead at UK school,https://www.thesun.co.uk/wp-content/uploads/2023/03/newspress-collage-21595784-1677969443337.jpg?1677969483&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/21595784/mourners-gather-thai-cave-survivor-17/
BATTLE HELL,Putin's thugs close in on ravaged Ukrainian city with thousands fleeing,https://www.thesun.co.uk/wp-content/uploads/2023/03/TM-comp-Ukrainian-Russia-attack.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21595760/putin-russian-troops-ukrainian-city-bakhmut/
NUKE HOUNDS,New dogs emerge at Chernobyl able to survive most radioactive place on earth,https://www.thesun.co.uk/wp-content/uploads/2023/03/stray-dogs-run-front-chernobyl-800319407-1.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21595092/new-breed-dogs-chernobyl-nuclear-disaster-site/
TANKS A LOT,Ukraine to get 'DOUBLE number of Brit Challenger 2 tanks than first promised',https://www.thesun.co.uk/wp-content/uploads/2023/03/2023-southern-england-uk-send-797922689.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21564279/ukraine-double-british-challenger-2-tanks/
LOTTA CASH,"Ex-con who won £8m on lotto blows half in 5 MONTHS on cars, penthouses & yachts",https://www.thesun.co.uk/wp-content/uploads/2023/03/newspress-collage-21591619-1677945241880.jpg?1677945368&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21591619/ex-con-won-lottery-blown-half-months/
TASTE FOR FLESH,How Europe's Dahmer would kill & eat victims as 'meat was expensive',https://www.thesun.co.uk/wp-content/uploads/2023/03/VP-COMP-SPOOKY-v2.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21417044/europe-jeffrey-dahmer-cannibal-meat/
DRAGGING ON,Maddie cops admit prime suspect Christian B WON'T be charged this year,https://www.thesun.co.uk/wp-content/uploads/2023/03/comp-ap-mccann.jpg?strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21591064/madeleine-mccann-cops-christian-b-wont-charged/
CON HER WAY,Who is Kellyanne Conway and how many children does she have?,https://www.thesun.co.uk/wp-content/uploads/2016/12/nintchdbpict000290450764.jpg?crop=0px%2C0px%2C3000px%2C2001px&resize=300%2C192,https://www.thesun.co.uk/news/2460697/kellyanne-conway-children/
HOLIDAY DEATH,Parents find daughter dead after taking fentanyl at Airbnb in tragic mystery,https://www.thesun.co.uk/wp-content/uploads/2023/03/newspress-collage-21590564-1677929683269.jpg?1677929714&strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/21590564/parents-daughter-dead-deadly-drug-fentanyl-tragic-mystery/
TWISTED MIND,"Deluded Putin thought Ukraine invasion would break up NATO, leaked docs show",https://www.thesun.co.uk/wp-content/uploads/2023/03/ac-putin-baltic-state-comp-v2.jpg?strip=all&w=300&h=192&crop=1,https://www.thesun.co.uk/news/21579520/putin-thought-ukraine-invasion-break-up-nato/
COKE BUST,Moment Brit arrested in Colombia ‘trying to fly £2m of cocaine to UK in luggage’,https://www.thesun.co.uk/wp-content/uploads/2023/03/jb-cocaine-comp.jpg?1677918665&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21589933/brit-arrested-columbia-drugs/
VLAD'S WRATH,Putin 'blames gossiping pals of gymnast lover' for leaking lavish lifestyle,https://www.thesun.co.uk/wp-content/uploads/2023/03/newspress-collage-21589462-1677888352017.jpg?1677888666&strip=all&w=150&h=100&crop=1,https://www.thesun.co.uk/news/21589462/putin-blames-friends-lover-leaking-lifestyle/
