Áo Khoác Nỉ Bông Thêu Hoodie Zip Unisex Nam Nữ Thời Trang Phong Cách Hàn Quốc(Hàng Sẵn),₫145.800,"Đã bán 3,7k",,https://shopee.vn/%C3%81o-Kho%C3%A1c-N%E1%BB%89-B%C3%B4ng-Th%C3%AAu-Hoodie-Zip-Unisex-Nam-N%E1%BB%AF-Th%E1%BB%9Di-Trang-Phong-C%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c(H%C3%A0ng-S%E1%BA%B5n)-i.36476030.17081278538?sp_atk=4b8117bb-104d-4ec2-84fc-19b1d9f9b56d&xptdk=4b8117bb-104d-4ec2-84fc-19b1d9f9b56d
Áo Khoác Cardigan Kẻ Thoi Form Rộng Đen/ Hồng Chất Nỉ New,₫98.000,"Đã bán 4,3k",,https://shopee.vn/%C3%81o-Kho%C3%A1c-Cardigan-K%E1%BA%BB-Thoi-Form-R%E1%BB%99ng-%C4%90en-H%E1%BB%93ng-Ch%E1%BA%A5t-N%E1%BB%89-New-i.711707322.20247263063?sp_atk=98af3ae3-1302-4bee-a48f-0d9ac3e21e7c&xptdk=98af3ae3-1302-4bee-a48f-0d9ac3e21e7c
Quần jean ống loe.quần bò cạp cao ống loe co dãn nhẹ mặc tôn dáng.nhiều màu,₫99.000 - ₫135.000,"Đã bán 26,5k",,https://shopee.vn/Qu%E1%BA%A7n-jean-%E1%BB%91ng-loe.qu%E1%BA%A7n-b%C3%B2-c%E1%BA%A1p-cao-%E1%BB%91ng-loe-co-d%C3%A3n-nh%E1%BA%B9-m%E1%BA%B7c-t%C3%B4n-d%C3%A1ng.nhi%E1%BB%81u-m%C3%A0u-i.410557043.16619940703?sp_atk=9a2b2f45-7642-42c5-aa49-ffd13a2c7a04&xptdk=9a2b2f45-7642-42c5-aa49-ffd13a2c7a04
Quần Short Nhung Tăm Cho Nữ Ấm Đẹp Hách Dáng 66,₫100.000,"Đã bán 12,2k",,https://shopee.vn/Qu%E1%BA%A7n-Short-Nhung-T%C4%83m-Cho-N%E1%BB%AF-%E1%BA%A4m-%C4%90%E1%BA%B9p-H%C3%A1ch-D%C3%A1ng-66-i.297542131.8824778295?sp_atk=198894dc-5d5b-4211-a015-feae7f708982&xptdk=198894dc-5d5b-4211-a015-feae7f708982
Áo thun phông logo tay nam nữ PINK tay lỡ form rộng SANJATI Unisex,₫75.000 - ₫79.000,"Đã bán 10,5k",,https://shopee.vn/%C3%81o-thun-ph%C3%B4ng-logo-tay-nam-n%E1%BB%AF-PINK-tay-l%E1%BB%A1-form-r%E1%BB%99ng-SANJATI-Unisex-i.120324880.19345581417?sp_atk=42ff37fa-1583-4912-9c5e-04ecbcaa5fe1&xptdk=42ff37fa-1583-4912-9c5e-04ecbcaa5fe1
Áo Khoác Cardigan W Xanh Mặt Cười Ulzzang,₫95.000,"Đã bán 8,2k",,https://shopee.vn/%C3%81o-Kho%C3%A1c-Cardigan-W-Xanh-M%E1%BA%B7t-C%C6%B0%E1%BB%9Di-Ulzzang-i.711707322.20759259656?sp_atk=626aedb1-2895-430b-a041-cf26aa5e36c2&xptdk=626aedb1-2895-430b-a041-cf26aa5e36c2
Bộ Pijama Chất Lụa Gấm Tay Dài- Quần Dài,₫270.000,Đã bán 13k,,https://shopee.vn/B%E1%BB%99-Pijama-Ch%E1%BA%A5t-L%E1%BB%A5a-G%E1%BA%A5m-Tay-D%C3%A0i-Qu%E1%BA%A7n-D%C3%A0i-i.361430568.15430269963?sp_atk=bea4bc3d-a4fb-4927-9949-3097b5ef8d59&xptdk=bea4bc3d-a4fb-4927-9949-3097b5ef8d59
Bộ Quần Áo Thun Nam In Họa Tiết Chữ UMKLSU Tinh Tế Thời Trang Zenkonam MEN QA 129,₫42.000 - ₫79.000,Đã bán 6k,,https://shopee.vn/B%E1%BB%99-Qu%E1%BA%A7n-%C3%81o-Thun-Nam-In-H%E1%BB%8Da-Ti%E1%BA%BFt-Ch%E1%BB%AF-UMKLSU-Tinh-T%E1%BA%BF-Th%E1%BB%9Di-Trang-Zenkonam-MEN-QA-129-i.16580423.5889370218?sp_atk=0af5604f-89a4-4813-9685-6bf9ba2056bf&xptdk=0af5604f-89a4-4813-9685-6bf9ba2056bf
"[ Rẻ vô địch ] Áo thun có cổ , áo polo tay lỡ form rộng - UFN",₫75.000,Đã bán 9k,,https://shopee.vn/-R%E1%BA%BB-v%C3%B4-%C4%91%E1%BB%8Bch-%C3%81o-thun-c%C3%B3-c%E1%BB%95-%C3%A1o-polo-tay-l%E1%BB%A1-form-r%E1%BB%99ng-UFN-i.259496548.11097250195?sp_atk=eef1d163-c27e-4dc6-8206-dd07622da973&xptdk=eef1d163-c27e-4dc6-8206-dd07622da973
Áo Khoác Cardigan Viền Xanh Nâu FRMLK Form Rộng chew,₫110.000,Đã bán 12k,,https://shopee.vn/%C3%81o-Kho%C3%A1c-Cardigan-Vi%E1%BB%81n-Xanh-N%C3%A2u-FRMLK-Form-R%E1%BB%99ng-chew-i.711707322.18362612598?sp_atk=4fa4a0f6-ac56-484f-83de-92b4b6e48246&xptdk=4fa4a0f6-ac56-484f-83de-92b4b6e48246
